t,|i=2,IO:EXT,IOPL:EXT,OQ:1,OO:1,IS:1,ISPL:1,RM:1,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:2,IOPL:2,OQ:0,OO:0,IS:0,ISPL:0,RM:0,OS:2,DMFS,FR,IL,HC,SC,ITHC,TC,|i=0,IO:1,IOPL:1,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC
43,|,0,[0],0.0,0.0,7.0,"[0, 0.0, 0]",0.0,0.0,0.0,0.8158995815899581,7.0,70.0,0,0.0,70.0,|,0.0,[0],0.0,0.0,7.0,"[0, 0.0, 0]",0.0,0.0,0.0,0.8535564853556485,7.0,35.0,0,0.0,35.0,|,0.0,[0],0.0,0.0,7.0,"[0, 0.0, 0]",0.0,0.0,0.0,0.9079497907949791,7.0,7.0,0,0.0,7.0
44,|,3.0,[0],3.0,3.0,0.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.8181818181818182,4.0,40.0,0,0.0,40.0,|,3.0,[0],3.0,3.0,0.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.8553719008264463,4.0,20.0,0,0.0,20.0,|,3.0,[0],3.0,3.0,0.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.9090909090909091,4.0,4.0,0,0.0,4.0
45,|,5.0,[0],5.0,5.0,3.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.8218623481781376,2.0,20.0,0,0.0,20.0,|,5.0,[0],5.0,5.0,3.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.8582995951417004,2.0,10.0,0,0.0,10.0,|,5.0,[0],5.0,5.0,3.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.9109311740890689,2.0,2.0,0,0.0,2.0
46,|,7.0,[0],7.0,7.0,5.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8267716535433071,0.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,7.0,5.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8622047244094488,0.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,7.0,5.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.9133858267716536,0.0,0,0,0.0,0.0
47,|,7.0,[0],7.0,7.0,7.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8314176245210728,0.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,7.0,7.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8659003831417624,0.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,7.0,7.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.9157088122605364,0.0,0,0,0.0,0.0
48,|,8.0,[0],8.0,8.0,7.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8327137546468402,-1.0,0.0,100.0,0.0,100.0,|,8.0,[0],8.0,8.0,7.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8661710037174721,-1.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,7.0,"[0, 8.0, 0]",0.0,7.0,7.0,0.9144981412639405,-1.0,0,0.0,0.0,0.0
49,|,3.0,[0],3.0,4.0,7.0,"[0, 4.0, 0]",0.0,4.0,3.0,0.8345588235294118,3.0,30.0,0,0.0,30.0,|,3.0,[0],3.0,4.0,7.0,"[0, 4.0, 0]",0.0,4.0,3.0,0.8676470588235294,3.0,15.0,0,0.0,15.0,|,3.0,[0],3.0,3.0,8.0,"[0, 3.0, 0]",0.0,4.0,3.0,0.9154411764705882,4.0,4.0,0,0.0,4.0
50,|,3.0,[0],3.0,3.0,4.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.8363636363636363,4.0,40.0,0,0.0,40.0,|,3.0,[0],3.0,3.0,4.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.8690909090909091,4.0,20.0,0,0.0,20.0,|,3.0,[0],3.0,3.0,3.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.9163636363636364,4.0,4.0,0,0.0,4.0
51,|,3.0,[0],3.0,3.0,3.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.8381294964028777,4.0,40.0,0,0.0,40.0,|,3.0,[0],3.0,3.0,3.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.8705035971223022,4.0,20.0,0,0.0,20.0,|,3.0,[0],3.0,3.0,3.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.9172661870503597,4.0,4.0,0,0.0,4.0
52,|,8.0,[0],8.0,8.0,3.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8391608391608392,-1.0,0.0,100.0,0.0,100.0,|,8.0,[0],8.0,8.0,3.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8706293706293706,-1.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,3.0,"[0, 8.0, 0]",0.0,7.0,7.0,0.916083916083916,-1.0,0,0.0,0.0,0.0
53,|,5.0,[0],5.0,6.0,7.0,"[0, 6.0, 0]",0.0,6.0,5.0,0.8419243986254296,1.0,10.0,0,0.0,10.0,|,5.0,[0],5.0,6.0,7.0,"[0, 6.0, 0]",0.0,6.0,5.0,0.872852233676976,1.0,5.0,0,0.0,5.0,|,5.0,[0],5.0,5.0,8.0,"[0, 5.0, 0]",0.0,6.0,5.0,0.9175257731958762,2.0,2.0,0,0.0,2.0
54,|,8.0,[0],8.0,8.0,6.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.842809364548495,-1.0,0.0,100.0,0.0,100.0,|,8.0,[0],8.0,8.0,6.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8729096989966555,-1.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,5.0,"[0, 8.0, 0]",0.0,7.0,7.0,0.9163879598662207,-1.0,0,0.0,0.0,0.0
55,|,4.0,[0],4.0,5.0,7.0,"[0, 5.0, 0]",0.0,5.0,4.0,0.8448844884488449,2.0,20.0,0,0.0,20.0,|,4.0,[0],4.0,5.0,7.0,"[0, 5.0, 0]",0.0,5.0,4.0,0.8745874587458746,2.0,10.0,0,0.0,10.0,|,4.0,[0],4.0,4.0,8.0,"[0, 4.0, 0]",0.0,5.0,4.0,0.9174917491749175,3.0,3.0,0,0.0,3.0
56,|,8.0,[0],8.0,8.0,5.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8456591639871383,-1.0,0.0,100.0,0.0,100.0,|,8.0,[0],8.0,8.0,5.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8745980707395499,-1.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,4.0,"[0, 8.0, 0]",0.0,7.0,7.0,0.9163987138263665,-1.0,0,0.0,0.0,0.0
